iso3,year,forest_area_kha,forest_area_kha_decadal_change_pct,co2_per_gdp_kg_per_usd,co2_per_gdp_kg_per_usd_decadal_change_pct,agriculture_value_added_share_gdp_pct,gdp_per_capita_ppp_const2017,agricultural_land_share_pct,urban_population_share_pct,hydro_electricity_share_pct,electricity_share_coal_pct,electricity_share_gas_pct,electricity_share_renewables_excl_hydro_pct,electrification_rate_pct,soy_area_kha,sugarcane_area_kha,pasture_area_kha,fertilizer_use_kg_per_ha,protected_areas_share_pct,control_of_corruption_est,rule_of_law_est,gini_index,rural_extreme_poverty_pct,lulucf_total_kt_co2eq,terms_of_trade_index,renewable_electricity_share_pct,oil_rents_share_gdp_pct,gdp_constant_2015_usd,non_oil_gdp_constant_2015_usd,population_total,population_density
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,40.900001525878906,40452.4132,76.0471453165218,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886,37213984.0,13.5981729753827
ARG,2010,30214.0,-9.479297741027024,0.14,-9.090909090909085,7.13,28056.2570212342,46.1389123357048,90.849,33.6309169543308,2.0354719676229,44.4343927310241,-4.99743681307781,98.8,18130.8,275.315,87.26480000000001,771245.0,,-0.355230033397675,-0.59809422492981,0.4110000133514404,25.600000381469727,220311.8625,106.51586863731,28.633480141253,2.30522041977185,552738161802.463,539996328828.72107,41288694.0,15.0870920710786
ARG,2020,28573.0,-5.431257033163439,0.136,-2.857142857142858,6.36,23877.0931404855,43.0004859885482,92.111,21.0892679568576,1.2996947212506,56.4028566858828,6.17318136617456,100.0,16710.793,443.573,74.681,1400381.0,,-0.163570061326027,-0.486265957355499,0.3939999938011169,33.0,59273.6981,97.35174347389,27.2624493230322,0.677055565819106,514874343768.066,511388358366.6097,45191965.0,16.5133665121004
BOL,2000,55101.39,,0.131,,,6146.02929379703,34.2869011354195,61.787,50.1288659793814,0.0,47.6030927835052,-0.360051546391753,70.0,616.964,83.838,33.831,3218.0,204553.15,-0.483501076698303,-0.368222206830978,0.6349999904632568,67.4000015258789,98382.4611,94.2341677640857,49.7688144329897,3.20071915897547,17334777888.1262,16779940331.095102,8606326.0,7.94454537062679
BOL,2010,53086.01,-3.657584681620552,0.176,34.35114503816792,10.39,7571.67809247102,34.7723519800609,66.43,32.7136431784108,0.0,64.0929535232384,1.66146926536732,88.0,1086.769,136.403,33.0,17962.0,,-0.458648711442947,-1.02979016304016,,,64553.6198,97.006977542713,34.3751124437781,2.81120414194023,25266542246.0612,24556248163.91485,10182345.0,9.39937690390474
BOL,2020,50833.76,-4.242643212401909,0.16,-9.090909090909085,14.0,9000.97565203128,35.5645909720299,70.123,29.4848667067549,0.0,61.2848266185608,6.4243335337743,97.2,1357.998,180.065,33.0,22573.0,,-0.844824612140656,-1.21863114833832,0.4490000009536743,32.29999923706055,66488.0438,83.175677718709,35.9092002405292,0.497346305966912,34855949803.3644,34682595024.60769,11816299.0,10.9076885442629
BRA,2000,551088.6,,0.121,,,14005.3471874231,27.3175012622426,81.192,87.2439884210828,3.15439511621908,1.16591671204609,2.25176693130034,94.4,13656.771,4804.511,173.4535,1668000.0,1246877.71,0.0132387839257717,-0.244871854782104,,,2643654.0747,35.1980653139565,89.4957553523831,1.41179870802297,1186419100640.61,1169669251106.0283,174018282.0,20.8202162203552
BRA,2010,511580.7,-7.169065010599018,0.107,-11.570247933884293,4.12,18062.1581103659,27.7375349060916,84.335,78.2002780616351,2.19850963617361,7.07273231429109,6.61611981858126,98.6,23327.296,9076.706,170.17720000000003,3091463.0,,0.0438063591718674,0.0564144365489483,,,1276784.9279999998,96.3292754619474,84.8163978802163,1.49436765608812,1703150236756.78,1677698910484.0984,193701929.0,23.175243415401
BRA,2020,496619.6,-2.9244848368986665,0.107,0.0,5.71,17327.5157249466,28.3324758857832,87.073,63.0413000744317,2.7894408712967,9.45982912507714,20.1348423255784,99.7,37191.638,9996.134,173.36079999999998,5910866.0,,-0.429083496332169,-0.231919765472412,0.5189999938011169,18.39999961853028,687373.0338,99.999875175233,83.1761424000102,1.07872778605369,1760056587795.46,1741070368332.6418,208660842.0,24.9649852718428
CHL,2000,15817.06,,0.179,,,17525.2717273479,20.3219229300151,86.073,46.1999101751584,21.1263037077698,26.0716602624882,3.2511602375368,97.9,0.0,,13.0,235000.0,138298.23,1.54021811485291,1.26092338562012,0.5139999985694885,42.79999923706055,-91141.774,48.3412137802082,49.4510704126952,0.0648093154178196,131243743563.397,131158685391.66484,15503635.0,20.8513352485165
