iso3,year,forest_area_kha,forest_area_kha_decadal_change_pct,co2_per_gdp_kg_per_usd,co2_per_gdp_kg_per_usd_decadal_change_pct,agriculture_value_added_share_gdp_pct,gdp_per_capita_ppp_const2017,agricultural_land_share_pct,urban_population_share_pct,hydro_electricity_share_pct,electricity_share_coal_pct,electricity_share_gas_pct,electricity_share_renewables_excl_hydro_pct,electrification_rate_pct,soy_area_kha,sugarcane_area_kha,pasture_area_kha,fertilizer_use_kg_per_ha,protected_areas_share_pct,control_of_corruption_est,rule_of_law_est,gini_index,rural_extreme_poverty_pct,methane_emissions_kt_co2eq,lulucf_forest_kt_co2eq,lulucf_total_kt_co2eq,terms_of_trade_index,renewable_electricity_share_pct,oil_rents_share_gdp_pct,gdp_constant_2015_usd,non_oil_gdp_constant_2015_usd
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,40.900001525878906,,,40452.4132,76.0471453165218,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,40.900001525878906,,,40452.4132,53.3780996748292,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,40.900001525878906,,,40452.4132,169.858388051414,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,40.900001525878906,,,40452.4132,52.9850784155202,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,40.900001525878906,,,40452.4132,65.7946361221395,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,10.300000190734863,,,40452.4132,76.0471453165218,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,10.300000190734863,,,40452.4132,53.3780996748292,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,10.300000190734863,,,40452.4132,169.858388051414,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,10.300000190734863,,,40452.4132,52.9850784155202,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7,8637.503,280.0,99.87,498223.0,165464.91,-0.172407656908035,-0.214404493570328,0.4869999885559082,10.300000190734863,,,40452.4132,65.7946361221395,33.0317886599097,2.03921231896402,395646066535.875,387578003207.57886
ARG,2010,30214.0,-9.479297741027024,0.14,-9.090909090909085,7.13,28056.2570212342,46.1389123357048,90.849,33.6309169543308,2.0354719676229,44.4343927310241,-4.99743681307781,98.8,18130.8,275.315,87.26480000000001,771245.0,,-0.355230033397675,-0.59809422492981,0.4110000133514404,25.600000381469727,,,220311.8625,106.51586863731,28.633480141253,2.30522041977185,552738161802.463,539996328828.72107
ARG,2010,30214.0,-9.479297741027024,0.14,-9.090909090909085,7.13,28056.2570212342,46.1389123357048,90.849,33.6309169543308,2.0354719676229,44.4343927310241,-4.99743681307781,98.8,18130.8,275.315,87.26480000000001,771245.0,,-0.355230033397675,-0.59809422492981,0.4110000133514404,25.600000381469727,,,220311.8625,95.1721140227147,28.633480141253,2.30522041977185,552738161802.463,539996328828.72107
