iso3,year,forest_area_kha,forest_area_kha_decadal_change_pct,co2_per_gdp_kg_per_usd,co2_per_gdp_kg_per_usd_decadal_change_pct,agriculture_value_added_share_gdp_pct,gdp_per_capita_ppp_const2017,agricultural_land_share_pct,urban_population_share_pct,hydro_electricity_share_pct,electricity_share_coal_pct,electricity_share_gas_pct,electricity_share_renewables_excl_hydro_pct,electrification_rate_pct,soy_area_kha,sugarcane_area_kha,pasture_area_kha,fertilizer_use_kg_per_ha,protected_areas_share_pct,control_of_corruption_est,rule_of_law_est,gini_index,rural_extreme_poverty_pct,methane_emissions_kt_co2eq,lulucf_forest_kt_co2eq,lulucf_total_kt_co2eq,terms_of_trade_index,renewable_electricity_share_pct,oil_rents_share_gdp_pct,gdp_constant_2015_usd,non_oil_gdp_constant_2015_usd,population_total,population_density,co2_total_kt,co2_per_capita_tons,delta_forest_kha,delta_co2_intensity_abs,delta_hydro_share_pct,delta_gdp_per_capita,delta_agri_share_pct,delta_forest_pct,lulucf_per_capita_t_co2eq,delta_lulucf_per_capita_t_co2eq,methane_total_kt_co2eq
ECU,2010,13028.19,-5.1149630384909495,0.185,17.834394904458595,9.73,11665.6978598204,30.1888387824126,62.69,44.2644797539723,0.0,8.98001025115325,1.22711430035879,97.5,43.0,106.928,4.9199,159096.0,,-0.707744359970093,-1.14322912693024,0.4900000095367431,32.70000076293945,,,52714.1316,83.4005062823295,45.4915940543311,11.1941478463167,75718234074.2169,67242223005.32892,15076695.0,60.7050048316959,,,-702.3099999999995,0.027999999999999997,-27.456213800494304,2482.646307051211,,-5.114963038490948,3.4963983552098123,0.6154731420798498,
ECU,2020,12497.83,-4.070864793958339,0.144,-22.16216216216217,9.84,12440.3263747814,21.8231599291351,64.166,77.8705837173579,0.0,3.81144393241167,1.84511008704557,98.9,19.682,139.406,2.939,208213.0,,-0.504086554050446,-0.540949642658234,0.4659999907016754,30.600000381469727,,,29119.1111,89.1232924009565,79.7156938044035,2.56275988674609,93971273313.9152,91563015216.36163,17546065.0,70.6477089708488,,,-530.3600000000006,-0.04100000000000001,33.6061039633856,774.6285149609994,0.10999999999999943,-4.070864793958337,1.6595807151062074,-1.836817640103605,
GUY,2010,18519.81,-0.2392236248008217,0.238,-16.19718309859155,28.53,10374.3947557656,3.65252730505461,26.634,0.0,0.0,0.0,9.76909227935019,83.3,0.0,41.648,0.594,14136.0,,-0.562469244003296,-0.477120876312256,,,,,7940.2998,,9.76909227935019,0.0,3641452424.56855,3641452424.56855,749256.0,3.80622809245618,,,-44.409999999999854,-0.045999999999999985,-0.312883039803884,2349.101490855979,,-0.23922362480082573,10.597579198564976,75.77087124178492,
GUY,2020,18415.34,-0.564098659759471,0.176,-26.050420168067223,16.85,19234.1301977637,3.40532348204982,26.786,0.000832202924361,0.0,0.0,7.22518578930286,92.3,0.0,18.818,0.594,17473.0,,-0.173186764121056,-0.43357652425766,,,,,12891.4783,,7.22601799222723,7.3763575857274,7275896377.20418,6739200242.854614,807481.0,3.82438666287771,,,-104.47000000000116,-0.062,0.000832202924361,8859.735441998102,-11.68,-0.5640986597594746,15.965054657632813,5.367475459067837,
PER,2010,74049.8,-1.6574581232951855,0.119,-8.461538461538465,6.83,12059.0180183322,18.644273125,76.43,55.8428531624408,2.37113402061856,34.0651992198384,0.692560601838952,88.1,1.427,76.983,18.6312,223425.0,,-0.253887414932251,-0.566099524497986,0.4709999859333038,24.600000381469727,,,169277.05349999998,76.0652819939601,56.5354137642797,0.792083877152532,150298879148.001,149108385958.72873,29086019.0,22.72345234375,,,-1248.0299999999988,-0.01100000000000001,-25.346260024262,4389.922700527601,,-1.657458123295185,5.819877017201975,-1.1169990183658207,
PER,2020,72330.37,-2.3219914165872213,0.095,-20.168067226890752,7.7,13609.5999609595,19.125773046875,78.297,57.7808515072854,0.267161831858575,35.3563105140497,6.19480076548497,96.2,0.647,84.634,18.284,311854.0,,-0.524636924266815,-0.382843524217606,0.4639999866485595,28.39999961853028,,,77013.3468,112.478242920961,63.9756522727703,0.104811146749273,191509018299.917,191308295501.7086,32838579.0,25.65513984375,,,-1719.4300000000076,-0.023999999999999994,1.9379983448446012,1550.5819426272992,0.8700000000000001,-2.3219914165872257,2.345209480592933,-3.474667536609042,
PRY,2010,19570.21,-14.881228619955513,0.066,3.125,13.01,12738.5765601705,47.4473657186006,59.261,99.9981504087597,0.0,0.0,0.0029778418969407,97.4,2671.059,100.0,15.006545400000002,81616.0,,-0.707593381404877,-0.830411493778229,0.5270000100135803,32.5,,,65120.9592,71.9835815173031,,0.143936547562155,29786095177.4635,29743222100.411484,5737971.0,14.4424137931034,,,-3421.4400000000023,0.0020000000000000018,-0.0018495912403011516,2739.9837057203404,,-14.881228619955515,11.349126581504159,-14.456638339289718,
PRY,2020,16102.26,-17.72055588570587,0.073,10.606060606060597,10.73,14991.6606201094,52.7540030203876,62.183,99.9978435262659,0.0,0.0,0.551712240144915,99.7,3631.0,105.0,16.487757600000002,141490.0,,-0.857888102531433,-0.427826523780823,0.4519999921321869,22.299999237060547,,,51328.7401,95.2384162100183,,0.0299623174238903,40343536418.7875,40331448560.34568,6603739.0,16.621542914674,,,-3467.949999999999,0.006999999999999992,-0.00030688249380261823,2253.0840599388994,-2.2799999999999994,-17.72055588570587,7.772678493199081,-3.576448088305078,
SUR,2010,15299.86,-0.2673251256284703,0.139,-26.84210526315789,10.12,22772.4754543689,0.48782733728326,66.344,70.1856148491879,0.0,0.0,-8.38573085846868,91.2,0.015,3.0,0.0173,9844.0,,-0.332702100276947,-0.0577610395848751,,,,,3219.428,,61.7998839907193,5.82683537587144,4731486826.19641,4455790878.002901,549923.0,3.42614907791599,,,-41.01000000000022,-0.05099999999999999,-18.210289587672207,6552.296394042702,,-0.26732512562846966,5.854325060053862,9.672684503075159,
SUR,2020,15196.29,-0.6769342987452132,0.222,59.71223021582732,8.14,19091.3617184226,0.498418735410739,66.149,47.9802955665025,0.0,0.0,-13.8684729064039,98.4,0.005,1.847,0.016,13505.0,,-0.460734039545059,-0.13208894431591,,,,,10084.2558,,34.1118226600985,2.99417364471055,4416708447.1504,4284464526.8621182,612317.0,3.81487831013121,,,-103.56999999999971,0.08299999999999999,-22.2053192826854,-3681.1137359463028,-1.9799999999999986,-0.6769342987452154,16.469011639395934,10.614686579342072,
URY,2010,1731.3,26.4645726807889,0.072,-14.285714285714302,7.2,24879.8350192618,82.4648611587247,94.414,78.2847564950182,0.0,0.744948319210355,10.8124592606388,99.3,848.8,6.5,12.362,151476.0,,1.29770147800446,0.786790609359741,0.4379999935626983,9.699999809265137,,,-14723.353900000002,58.8423216099834,89.097215755657,0.0173337959445058,48857389210.184,48848920370.03449,3318580.0,18.9611472974517,,,362.29999999999995,-0.01200000000000001,-14.638279878202695,6127.777207965202,,26.464572680788894,-4.436642750815109,1.3986267943391155,
URY,2020,2031.0,17.310691387974366,0.065,-9.72222222222221,6.57,27788.1854968153,80.3531025025711,95.515,30.1177336276674,0.0,0.0,63.6309050772627,100.0,916.8,6.6,12.0,204059.0,,1.36466670036316,0.647405028343201,0.3970000147819519,5.0,,,832.7144,109.827362480898,93.7486387049301,0.0039642091130891,55890466349.1545,55888250734.19414,3398968.0,19.4204548051651,,,299.70000000000005,-0.006999999999999992,-48.1670228673508,2908.3504775534966,-0.6299999999999999,17.31069138797436,0.2449903617803992,4.681633112595508,
VEN,2010,47505.0,-3.348863705723182,0.266,-5.673758865248213,5.38,,24.3750354288306,88.083,67.4888148584387,0.0,16.6691571369554,0.0002812766443696,99.1,40.949,106.286,18.2,297320.0,,-1.2080090045929,-1.66915047168732,0.363999992609024,24.89999961853028,,,44424.1054,127.263020935094,67.4890961350831,11.6928975467648,,,28813101.0,32.6660631483476,,,-1646.0,-0.01599999999999996,-6.259587294696601,,,-3.3488637057231796,1.541802300280001,-1.17293341149999,
VEN,2020,46230.9,-2.682033470161027,0.3,12.781954887218028,,,24.3750354288306,88.279,77.5856719085504,0.0,14.4671027318199,0.128858493961697,99.9,4.891,58.528,18.2,111517.0,,-1.57573306560516,-2.33193492889404,,,,,54048.0921,,77.7145304025121,,,,28444077.0,32.2476923076923,,,-1274.0999999999985,0.033999999999999975,10.096857050111694,,,-2.6820334701610324,1.900152784004909,0.3583504837249081,
