iso3,year,forest_area_kha,forest_area_kha_decadal_change_pct,co2_per_gdp_kg_per_usd,co2_per_gdp_kg_per_usd_decadal_change_pct,agriculture_value_added_share_gdp_pct,gdp_per_capita_ppp_const2017,agricultural_land_share_pct,urban_population_share_pct,hydro_electricity_share_pct,electricity_share_coal_pct,electricity_share_gas_pct,electricity_share_renewables_excl_hydro_pct,electrification_rate_pct
ARG,2000,33378.0,,0.154,,,22281.3814299958,46.9581867146078,89.142,40.5105962199699,1.7619165336989,47.0245185068656,-7.47880756006023,95.7
ARG,2010,30214.0,-9.479297741027024,0.14,-9.090909090909085,7.13,28056.2570212342,46.1389123357048,90.849,33.6309169543308,2.0354719676229,44.4343927310241,-4.99743681307781,98.8
ARG,2020,28573.0,-5.431257033163439,0.136,-2.857142857142858,6.36,23877.0931404855,43.0004859885482,92.111,21.0892679568576,1.2996947212506,56.4028566858828,6.17318136617456,100.0
BOL,2000,55101.39,,0.131,,,6146.02929379703,34.2869011354195,61.787,50.1288659793814,0.0,47.6030927835052,-0.360051546391753,70.0
BOL,2010,53086.01,-3.657584681620552,0.176,34.35114503816792,10.39,7571.67809247102,34.7723519800609,66.43,32.7136431784108,0.0,64.0929535232384,1.66146926536732,88.0
BOL,2020,50833.76,-4.242643212401909,0.16,-9.090909090909085,14.0,9000.97565203128,35.5645909720299,70.123,29.4848667067549,0.0,61.2848266185608,6.4243335337743,97.2
BRA,2000,551088.6,,0.121,,,14005.3471874231,27.3175012622426,81.192,87.2439884210828,3.15439511621908,1.16591671204609,2.25176693130034,94.4
BRA,2010,511580.7,-7.169065010599018,0.107,-11.570247933884293,4.12,18062.1581103659,27.7375349060916,84.335,78.2002780616351,2.19850963617361,7.07273231429109,6.61611981858126,98.6
BRA,2020,496619.6,-2.9244848368986665,0.107,0.0,5.71,17327.5157249466,28.3324758857832,87.073,63.0413000744317,2.7894408712967,9.45982912507714,20.1348423255784,99.7
CHL,2000,15817.06,,0.179,,,17525.2717273479,20.3219229300151,86.073,46.1999101751584,21.1263037077698,26.0716602624882,3.2511602375368,97.9
CHL,2010,16725.26,5.741901465885557,0.165,-7.821229050279321,3.62,24116.7694715614,19.7952795575712,87.074,35.9350696627726,27.9081311844326,17.6887182711719,4.82675315219909,99.5
CHL,2020,18210.7,8.881416492180104,0.165,0.0,4.04,26248.5616432825,14.9026289456383,87.727,26.0414558356053,31.0383008107818,18.2062790946865,22.7416094198326,100.0
COL,2000,62735.5,,0.127,,,10813.4942250011,40.4317260027039,73.957,74.3641464375971,5.10305812524634,19.1347290811713,-0.2259859497809,95.2
COL,2010,60807.79,-3.072757848427121,0.09,-29.13385826771654,6.32,14037.0642668639,38.3082469580892,77.964,66.6364281119596,6.75419353774596,19.7430272641805,1.90202708274918,96.8
COL,2020,59141.91,-2.7395832014286303,0.087,-3.3333333333333326,7.47,15861.4999291295,39.8467278954484,81.425,62.8254283523363,11.8128449131982,19.0938918151077,2.45172158040956,99.7
ECU,2000,13730.5,,0.157,,,9183.05155276919,32.477049444355,60.299,71.7206935544666,0.0,1.96767810026385,0.00216735770825481,93.7
ECU,2010,13028.19,-5.1149630384909495,0.185,17.834394904458595,9.73,11665.6978598204,30.1888387824126,62.69,44.2644797539723,0.0,8.98001025115325,1.22711430035879,97.5
ECU,2020,12497.83,-4.070864793958339,0.144,-22.16216216216217,9.84,12440.3263747814,21.8231599291351,64.166,77.8705837173579,0.0,3.81144393241167,1.84511008704557,98.9
GUY,2000,18564.22,,0.284,,,8025.29326490962,3.63360731521463,28.694,0.312883039803884,0.0,0.0,4.13844268111735,74.6
GUY,2010,18519.81,-0.2392236248008217,0.238,-16.19718309859155,28.53,10374.3947557656,3.65252730505461,26.634,0.0,0.0,0.0,9.76909227935019,83.3
GUY,2020,18415.34,-0.564098659759471,0.176,-26.050420168067223,16.85,19234.1301977637,3.40532348204982,26.786,0.000832202924361076,0.0,0.0,7.22518578930286,92.3
PER,2000,75297.83,,0.13,,,7669.0953178046,17.904590703125,73.042,81.1891131867028,1.74249271869037,3.95701516521041,0.699005724615848,72.5
PER,2010,74049.8,-1.6574581232951855,0.119,-8.461538461538465,6.83,12059.0180183322,18.644273125,76.43,55.8428531624408,2.37113402061856,34.0651992198384,0.692560601838952,88.1
PER,2020,72330.37,-2.3219914165872213,0.095,-20.168067226890752,7.7,13609.5999609595,19.125773046875,78.297,57.7808515072854,0.267161831858575,35.3563105140497,6.19480076548497,96.2
PRY,2000,22991.65,,0.064,,,9998.59285445016,41.8709622451548,55.331,100.0,0.0,0.0,-0.0198160472594033,89.6
PRY,2010,19570.21,-14.881228619955513,0.066,3.125,13.01,12738.5765601705,47.4473657186006,59.261,99.9981504087597,0.0,0.0,0.00297784189694078,97.4
PRY,2020,16102.26,-17.72055588570587,0.073,10.606060606060597,10.73,14991.6606201094,52.7540030203876,62.183,99.9978435262659,0.0,0.0,0.551712240144915,99.7
SUR,2000,15340.87,,0.19,,,16220.1790603262,0.548260608951812,66.444,88.3959044368601,0.0,0.0,16.2295221843003,95.4
SUR,2010,15299.86,-0.2673251256284703,0.139,-26.84210526315789,10.12,22772.4754543689,0.48782733728326,66.344,70.1856148491879,0.0,0.0,-8.38573085846868,91.2
SUR,2020,15196.29,-0.6769342987452132,0.222,59.71223021582732,8.14,19091.3617184226,0.498418735410739,66.149,47.9802955665025,0.0,0.0,-13.8684729064039,98.4
URY,2000,1369.0,,0.084,,,18752.0578112966,85.4645183407611,92.028,92.9230363732209,0.0,0.0,0.355034264628361,97.6
URY,2010,1731.3,26.4645726807889,0.072,-14.285714285714302,7.2,24879.8350192618,82.4648611587247,94.414,78.2847564950182,0.0,0.744948319210355,10.8124592606388,99.3
URY,2020,2031.0,17.310691387974366,0.065,-9.72222222222221,6.57,27788.1854968153,80.3531025025711,95.515,30.1177336276674,0.0,0.0,63.6309050772627,100.0
VEN,2000,49151.0,,0.282,,,,24.5280879768721,87.559,73.7484021531353,0.0,16.9858451290591,0.0,98.9
VEN,2010,47505.0,-3.348863705723182,0.266,-5.673758865248213,5.38,,24.3750354288306,88.083,67.4888148584387,0.0,16.6691571369554,0.000281276644369633,99.1
VEN,2020,46230.9,-2.682033470161027,0.3,12.781954887218028,,,24.3750354288306,88.279,77.5856719085504,0.0,14.4671027318199,0.128858493961697,99.9
